street_name,postal_code,zone_code,zone_name,highway_type,latitude,longitude,full_address
Siaka Stevens Street,1100,1100-003,Siaka Stevens Street,primary,8.4770,-13.2260,"Siaka Stevens Street, Central Freetown, 1100, Sierra Leone"
Rawdon Street,1100,1100-001,Central Freetown CBD,secondary,8.4785,-13.2295,"Rawdon Street, Central Freetown, 1100, Sierra Leone"
Lightfoot Boston Street,1100,1100-001,Central Freetown CBD,secondary,8.4792,-13.2270,"Lightfoot Boston Street, Central Freetown, 1100, Sierra Leone"
Pademba Road,1100,1100-002,Tower Hill,primary,8.4810,-13.2300,"Pademba Road, Tower Hill, 1100, Sierra Leone"
Gloucester Street,1100,1100-001,Central Freetown CBD,secondary,8.4780,-13.2255,"Gloucester Street, Central Freetown, 1100, Sierra Leone"
Howe Street,1100,1100-001,Central Freetown CBD,secondary,8.4775,-13.2240,"Howe Street, Central Freetown, 1100, Sierra Leone"
Charlotte Street,1100,1100-001,Central Freetown CBD,secondary,8.4765,-13.2275,"Charlotte Street, Central Freetown, 1100, Sierra Leone"
Garrison Street,1100,1100-001,Central Freetown CBD,secondary,8.4760,-13.2265,"Garrison Street, Central Freetown, 1100, Sierra Leone"
Oxford Street,1100,1100-001,Central Freetown CBD,secondary,8.4748,-13.2242,"Oxford Street, Central Freetown, 1100, Sierra Leone"
Wallace Johnson Street,1100,1100-001,Central Freetown CBD,secondary,8.4790,-13.2310,"Wallace Johnson Street, Central Freetown, 1100, Sierra Leone"
Lamina Sankoh Street,1100,1100-003,Siaka Stevens Street,primary,8.4768,-13.2258,"Lamina Sankoh Street, Central Freetown, 1100, Sierra Leone"
Wilberforce Street,1100,1100-001,Central Freetown CBD,secondary,8.4755,-13.2250,"Wilberforce Street, Central Freetown, 1100, Sierra Leone"
Walpole Street,1100,1100-001,Central Freetown CBD,secondary,8.4782,-13.2305,"Walpole Street, Central Freetown, 1100, Sierra Leone"
George Street,1100,1100-001,Central Freetown CBD,secondary,8.4782,-13.2272,"George Street, Central Freetown, 1100, Sierra Leone"
Regent Street,1100,1100-001,Central Freetown CBD,secondary,8.4778,-13.2275,"Regent Street, Central Freetown, 1100, Sierra Leone"
Sanders Street,1100,1100-001,Central Freetown CBD,secondary,8.4778,-13.2268,"Sanders Street, Central Freetown, 1100, Sierra Leone"
Liverpool Street,1100,1100-001,Central Freetown CBD,secondary,8.4772,-13.2262,"Liverpool Street, Central Freetown, 1100, Sierra Leone"
Waterloo Street,1100,1100-001,Central Freetown CBD,secondary,8.4768,-13.2258,"Waterloo Street, Central Freetown, 1100, Sierra Leone"
East Street,1101,1101-001,Cline Town,secondary,8.4780,-13.2010,"East Street, Cline Town, 1101, Sierra Leone"
Fourah Bay Road,1101,1101-003,Fourah Bay,primary,8.4890,-13.2050,"Fourah Bay Road, Fourah Bay, 1101, Sierra Leone"
Susan's Bay Road,1101,1101-001,Cline Town,secondary,8.4795,-13.2020,"Susan's Bay Road, Cline Town, 1101, Sierra Leone"
Circular Road,1102,1102-002,Foulah Town,primary,8.4870,-13.2210,"Circular Road, Foulah Town, 1102, Sierra Leone"
Congo Cross,1102,1102-001,Congo Town,secondary,8.4910,-13.2120,"Congo Cross, Congo Town, 1102, Sierra Leone"
Murray Town Road,1102,1102-003,Murray Town,primary,8.4680,-13.2660,"Murray Town Road, Murray Town, 1102, Sierra Leone"
Wilkinson Road,1103,1103-001,Brookfields,primary,8.4600,-13.2460,"Wilkinson Road, Brookfields, 1103, Sierra Leone"
Jomo Kenyatta Road,1103,1103-002,New England,primary,8.4675,-13.2400,"Jomo Kenyatta Road, New England, 1103, Sierra Leone"
Main Motor Road,1103,1103-001,Brookfields,primary,8.4580,-13.2450,"Main Motor Road, Brookfields, 1103, Sierra Leone"
Spur Road,1103,1103-001,Brookfields,secondary,8.4590,-13.2470,"Spur Road, Brookfields, 1103, Sierra Leone"
New England Main Road,1103,1103-002,New England,primary,8.4680,-13.2410,"New England Main Road, New England, 1103, Sierra Leone"
New England Ville,1103,1103-002,New England,residential,8.4685,-13.2420,"New England Ville, New England, 1103, Sierra Leone"
Dwarzak Farm Road,1103,1103-002,New England,tertiary,8.4690,-13.2380,"Dwarzak Farm Road, New England, 1103, Sierra Leone"
Dwarzak Junction,1103,1103-002,New England,tertiary,8.4695,-13.2375,"Dwarzak Junction, New England, 1103, Sierra Leone"
